Words and/or Names

---------------------

tʃatʃ | Cac
fɪg | Fig
gakfarɲɪtʃ | Gakfarñic
ɪbsragag | Ibsragag
gazgɪð | Gazgið
gagmablag | Gagmablag
rartʃak | Rarcak
ratraðkatʃ | Ratraðkac
naʒtʃatʃga | Najhcacga
karnarsrɛd | Karnarsred
tʃatʃfafɛg | Cacfafeg
tʃatʃ | Cac
bʊvtʃa | Buvca
gadʒal | Gajal
ɲassʊg | Ñassug
iəgfaðmadʒ | Iagfaðmaj
gaggakgʊg | Gaggakgug
matʃag | Macag
ɲadnag | Ñadnag
ðoð | Ðoð
tʃaszabgras | Caszabgras
rargag | Rargag
radgaʒtʃa | Radgajhca
gaggʊn | Gaggun
ɪrgað | Irgað
gagrattʃak | Gagratcak
garðaglar | Garðaglar
godgaa | Godgaa
ðagɲaktʃak | Ðagñakcak
ɲʊrba | Ñurba
razaʒgog | Razajhgog
aʒgogsar | Ajhgogsar
tʃriəbal | Criabal
aðgaf | Aðgaf
niəɲɲak | Niaññak
sɪfgranlag | Sifgranlag
hɪdtʃasdal | Hidcasdal
mʊg | Mug
daggag | Daggag
pɪbfasfo | Pibfasfo
mag | Mag
satʃgag | Sacgag
ommarras | Ommarras
garrarkag | Garrarkag
gantʃras | Gancras
adtʃanag | Adcanag
graggat | Graggat
kagʊkpoʃ | Kagukposh
bʊð | Buð
nal | Nal
ɪsgargak | Isgargak
sakʒafkal | Sakjhafkal
tʃaðgap | Caðgap
fatʃtʃaðgat | Faccaðgat
kabadkat | Kabadkat
badgaʒvatʃ | Badgajhvac
gɪzgassadʒ | Gizgassaj
gatʃ | Gac
vava | Vava
nʊðab | Nuðab
bag | Bag
bɪdmɪdmatʃ | Bidmidmac
rrartʃatʃsaf | Rrarcacsaf
gargasgag | Gargasgag
rʊslaðgag | Ruslaðgag
ðalgoppah | Ðalgoppah
ɲadaðga | Ñadaðga
gɛstʃaggaf | Gescaggaf
agsɪfab | Agsifab
baɲgasnaʒ | Bañgasnajh
gaðdʒapgʊn | Gaðjapgun
tʃaðgað | Caðgað
sagtag | Sagtag
gaðatʃ | Gaðac
vaz | Vaz
rʊ | Ru
sargafbʊk | Sargafbuk
darsag | Darsag
gadʒaɪr | Gajair
daɪrgʊp | Dairgup
vazkatʃtʃɪʒ | Vazkaccijh
taftʃagmaɲ | Tafcagmañ
gað | Gað
tʃað | Cað
gavradlað | Gavradlað
gas | Gas
ɲamvasgɪg | Ñamvasgig
arɪdʒ | Arij
gatʃɲaraɲ | Gacñarañ
tʃaltʃag | Calcag
ragaʃrʊd | Ragashrud
orfaɲtʃa | Orfañca
tʃagɪgag | Cagigag
dʒʊtʃtʃabgak | Juccabgak
tʃaðzag | Caðzag
nangað | Nangað
sɪsɛfak | Sisefak
kagtʃʊr | Kagcur
gʊgar | Gugar
ɲiəsgagatʃ | Ñiasgagac

--------------------

Syllables
----------
sak | Gag
gat | Najh
pal | Kar
ɛf | San
vɛ | Fak
tap | Cag
ɲag | Kag
gaz | Gaz
tʃar | Cag
tʃað | Gac
gaɲ | Ða
fas | Ñug
dɪk | Ðas
gað | Sag
far | Piv
matʃ | Gag
rad | Ga
ɲɪm | Gañ
tʃatʃ | Að
rat | Bid
ðɪg | Ap
ɲaʒ | Vif
radʒ | Fað
koð | Jhag
nan | Gas
ag | Jac
da | Gak
hag | Gap
gatʃ | Zag
gag | Rab
gam | Lað
ag | Gak
gar | Cak
kap | Ñur
tʃag | Crav
gɪg | Cað
gʊm | Ga
aɲ | A
saf | Gab
log | Nag
ɲag | Za
gar | Gag
sag | Mac
ðam | Ar
af | Ral
dar | Cac
ar | Dam
gas | Gag
mʊn | La
gʊt | Rat
gag | Cið
gaz | Bag
gʊs | Fag
sadʒ | Ðag
mað | Jap
gaʃ | Cijh
lɪs | Rað
tʃag | Gag
gav | Fajh
los | Að
tʃar | Ak
sag | Cig
ðab | Mug
fas | As
tʃag | Ðið
gag | Ñad
nad | Gað
fatʃ | Cras
vad | Gug
tʃaɲ | Vañ
gad | As
vaz | Rag
da | Gaj
ðar | Ad
gɛ | Jog
gog | Jhiaf
saf | Vam
gɪg | Sar
laf | Kad
gʊ | Mab
atʃ | Rag
ɲɪtʃ | Ga
tʃa | Maz
ad | Jar
as | Gog
gaʒ | Vac
tʃaf | Gar
að | Tac
vaz | Is
fag | Pi
gos | Gað
saf | Diag
gɪz | Ga
baɲ | Ap
gaɲ | Zag
grɪh | Ðan
ras | Gag
ga | Ac
ratʃ | Ud
laz | Ajh
gag | Dak
naʒ | Mac
kar | Kað
san | Ja
fak | Rag
tʃag | Kar
kag | Sad
gaz | Gras
tʃag | Sas
gatʃ | Cad
ða | Bad
ɲʊg | Fak
ðas | Kruc
sag | Cash
pɪv | Ij
gag | As
ga | Gi
gaɲ | Gag
að | A
bɪd | Jhiar
ap | Shig
vɪf | Pag
fað | Rag
ʒag | Gij
gas | Fað
dʒatʃ | Dub
gak | Raf
gap | Fag
zag | Sag
rab | Ga
lað | Ash
gak | Mað
tʃak | Rag
ɲʊr | Ac
tʃrav | Dac
tʃað | Kag
ga | Gag
a | Sas
gab | Gig
nag | Gaf
za | Gak
gag | Dag
matʃ | Cac
ar | Ab
ral | Vac
tʃatʃ | Maj
dam | Giv
gag | Os
la | Ir
rat | Gar
tʃɪð | Ðus
bag | Sag
fag | Rug
ðag | Gak
dʒap | Gaz
tʃɪʒ | Jhar
rað | Saj
gag | Mug
faʒ | Ca
að | Var
ak | Daj
tʃɪg | Kac
mʊg | Sim
as | Að
ðɪð | Gig
ɲad | Ha
gað | Fag
tʃras | Sañ
gʊg | Bam
vaɲ | Ðad
as | Vas
rag | Ðal
gadʒ | Mar
ad | Gað
dʒog | Dijh
ʒiəf | Gac
vam | Gag
sar | Lal
kad | Gab
mab | Coc
rag | Sif
ga | Ur
maz | Kag
dʒar | Hoð
gog | Kur
vatʃ | Gajh
gar | Cab
tatʃ | Fad
ɪs | Cad
pɪ | Gag
gað | Giak
diəg | Rañ
ga | Ac
ap | Ga
zag | Að
ðan | Al
gag | Gað
atʃ | Ca
ʊd | Fag
aʒ | Kaj
dak | Rag
matʃ | Bañ
kað | Kað
dʒa | Gag
rag | Su
kar | Rar
sad | Al
gras | Ga
sas | Gag
tʃad | Bam
bad | Daf
fak | Giñ
krʊtʃ | Ba
tʃaʃ | Faf
ɪdʒ | Gag
as | Buð
gɪ | Rab
gag | Kag
a | Cak
ʒiər | Jac
ʃɪg | Sac
pag | Kar
rag | Rog
gɪdʒ | Re
fað | Mac
dʊb | Cak
raf | Ða
fag | Cik
sag | Ñias
ga | Ab
aʃ | Far
mað | Rak
rag | Ar
atʃ | Dar
datʃ | Ca
kag | Kal
gag | Ac
sas | Gan
gɪg | Gag
gaf | Lag
gak | Las
dag | Cur
tʃatʃ | Car
ab | Sa
vatʃ | Jeg
madʒ | Zid
gɪv | Rar
os | Gash
ɪr | Cac
gar | Gan
ðʊs | Car
sag | Hrað
rʊg | Cag
gak | Ga
gaz | Fa
ʒar | Gov
sadʒ | Gam
mʊg | Dag
tʃa | Gap
var | Mad
dadʒ | Ir
katʃ | Rañ
sɪm | Cag
að | Rar
gɪg | Pañ
ha | Ga
fag | Va
saɲ | Ðag
bam | Gag
ðad | Gið
vas | Drajh
ðal | Cac
mar | Ag
gað | Gab
dɪʒ | Jað
gatʃ | Juc
gag | Dom
lal | Rum
gab | Cag
tʃotʃ | Nad
sɪf | Mid
ʊr | Gas
kag | Ca
hoð | Gañ
kʊr | Ma
gaʒ | Cað
tʃab | Grag
fad | Fið
tʃad | Ras
gag | Bac
giək | Uk
raɲ | Dið
atʃ | Fac
ga | Gaf
að | Ra
al | Ra
gað | Ag
tʃa | Vak
fag | Paj
kadʒ | Ðab
rag | Va
baɲ | Mac
kað | Mir
gag | Gar
sʊ | Gar
rar | Añ
al | Mar
ga | Kac
gag | Ap
bam | Gig
daf | Gig
gɪɲ | Af
ba | Ab
faf | Cav
gag | Rag
bʊð | Caf
rab | Ca
kag | Gað
tʃak | Cag
dʒatʃ | Rad
satʃ | Ñag
kar | Gag
rog | Lað
rɛ | Gað
matʃ | Jhaf
tʃak | Sajh
ða | Vac
tʃɪk | Dag
ɲiəs | Gig
ab | Cab
far | Gat
rak | Lah
ar | A
dar | Guð
tʃa | Sac
kal | Gac
atʃ | Sus
gan | Vag
gag | Gog
lag | Va
las | Daf
tʃʊr | Ra
tʃar | Av
sa | Ag
dʒɛg | Rim
zɪd | Gas
rar | Ga
gaʃ | Kat
tʃatʃ | Ga
gan | Car
tʃar | Vak
hrað | I
tʃag | Gag
ga | Gog
fa | Gag
gov | Guk
gam | Añ
dag | Gan
gap | Kal
mad | Guñ
ɪr | Jag
raɲ | If
tʃag | Gash
rar | Cað
paɲ | Ðic
ga | Lag
va | Cug
ðag | Lav
gag | A
gɪð | Gap
draʒ | Cag
tʃatʃ | Gac
ag | Ka
gab | Mak
dʒað | Bud
dʒʊtʃ | Ðom
dom | Gak
rʊm | Ib
tʃag | Jhap
nad | Lag
mɪd | Gam
gas | Að
tʃa | Gar
gaɲ | Ðag
ma | Fo
tʃað | Gam
grag | Am
fɪð | Sag
ras | Gajh
batʃ | Ðag
ʊk | Nar
dɪð | Ðuð
fatʃ | Ag
gaf | Hac
ra | Nag
