Kamadamake
-------------

ma.dle.wa. | Madlewa
ka.ma.wa. | Kamawa
da.ma.da.da.wa.ka.ka. | Damadadawakaka
ʃia.ge.wa. | Shiagewa
wa.tra. | Watra
pa.ha. | Paha
wa.da.mwa. | Wadamwa
ama.ma.ma. | Amamama
ma.ma.ma.ada.wa. | Mamamaadawa
pa.tʃa. | Pacha
dru.ma. | Druma
pro.ma.wa.da.fla.ke. | Promawadaflake
ma.ma. | Mama
mla.ma.ama. | Mlamaama
ra.ma.na. | Ramana
ma. | Ma
dle.tʃa.emwe. | Dlechaemwe
ko.tʃa. | Kocha
ta.ʃia.ʃa. | Tashiasha
da.da. | Dada
ka.ada.ma. | Kaadama
ma.ma.wa. | Mamawa
apwa.ma.me. | Apwamame
kwa.tʃa. | Kwacha
ka.tʃa.awa.mle. | Kachaawamle
ama.ka.aka.tʃa.fu. | Amakaakachafu
ma.mu.pa.na.ada.ha. | Mamupanaadaha
kwa.da. | Kwada
ma.ma.ma. | Mamama
ma.fa.te.wa. | Mafatewa
dle.ra.pa.wa. | Dlerapawa
pa.ma.tʃa. | Pamacha
la.ta.ma.ka. | Latamaka
pa.me.ma.ma.fa.dru. | Pamemamafadru
wa.iaeka.ha.ama. | Waiaekahaama
ma.ma. | Mama
ma.ma.ko.pa. | Mamakopa
ma.fa.wa. | Mafawa
wa.tʃa. | Wacha
ta.fa.ra. | Tafara
pa.ma.ama. | Pamaama
da.te.ma.na. | Datemana
aka.ma.fa.ma. | Akamafama
ma.ʃa.pa. | Mashapa
na.da. | Nada
iaeka.ma.tʃa. | Iaekamacha
ma.ho.tra. | Mahotra
ma.ada. | Maada
wa.ma.ma. | Wamama
wu.me.wa. | Wumewa
mla.kwa.ma. | Mlakwama
ka.da. | Kada
da.fa.ʃa. | Dafasha
kwa.ma.ma.me. | Kwamamame
ka.dle.ma. | Kadlema
pa.ama.wa.na. | Paamawana
na.ge.ke.ma. | Nagekema
ha.ho.da. | Hahoda
ma.fa.fa.ko.ka. | Mafafakoka
ma.ma. | Mama
ko.ma. | Koma
mu.ma.ma. | Mumama
ra.ka.aka.pa. | Rakaakapa
piae.ma. | Piaema
ma.una.ma.ema. | Maunamaema
la.ma.ma. | Lamama
ma.pa. | Mapa
dla.aka.ma. | Dlaakama
wa.kwia.ma. | Wakwiama
ama.pe.wa. | Amapewa
dle.da.ma. | Dledama
ma.ma.ge. | Mamage
ma.ma.ma. | Mamama
me.mwa. | Memwa
ma.ma.ka. | Mamaka
ma.ma.wa. | Mamawa
tʃa.we.ʃa. | Chawesha
ma.ma.wa. | Mamawa
na.ma.ka. | Namaka
pa.mwa.ma. | Pamwama
ma.wa.ma. | Mawama
pa.tra.ama.ʃia. | Patraamashia
pa.na.pa. | Panapa
ʃa.la. | Shala
ma.pa.ma. | Mapama
ma.na.tʃa.kwia.pa. | Manachakwiapa
ma.da. | Mada
ma.ta. | Mata
pa.ma.ma. | Pamama
la.ga.pa.ma. | Lagapama
ada.pa. | Adapa
ama.ada. | Amaada
ma.pro.piae. | Mapropiae
ma.awa. | Maawa
ma.ma. | Mama
ma.tra.ka. | Matraka
mla.da. | Mlada
me.ha.me.emwe.te.ma.ma. | Mehameemwetemama
ma.ma.ma. | Mamama
mla.kwia. | Mlakwia

----------------
Sark
----------------

.dɪə. | Zhidi
sə.jɪəm. | Suyim
dɪəd.ʒɪə.ʒɪə. | Didzhizhi
dɛd.sɪəθ. | Dedsith
ʒɪəd. | Zhid
θɛd.ʒɪən. | Thedzhin
θəθ. | Thuth
dɪəm.dʒədʒ. | Dimjuj
mɪət.nɪən. | Mitnin
ʒɪəd.sɪəd. | Zhidsid
θəʃ.nɪə. | Thushni
nɪə.nɪən. | Ninin
dɪəd.dɪən. | Diddin
jɪək.ʃɪəθ. | Yikshith
ʒɛdʒ.ʒɛ. | Zhejzhe
ʒɪət.θɛd. | Zhitthed
dɪə.θɪəd. | Dithid
jan.dɪ. | Yandy
daɪ.ʒɪə. | Diyzhi
ʒɪə.dɪəθ. | Zhidith
ʒɪərm.gɪn. | Zhirmgyn
ʒɪə.gaɪ. | Zhigiy
jɪəg.ʒɪət. | Yigzhit
θəʃ.ʒɪəʃ. | Thushzhish
ʒɪən. | Zhin
θɪəd. | Thid
kɪəθ. | Kith
θəd.ʒɪərm. | Thudzhirm
dʒɪəʃ. | Jish
da.ʒɪd.dɪəd. | Dazhyddid
ɪən.ʒɪə. | Inzhi
ʒɛd.dʒʊd. | Zhedjuyd
nɪəd.ʒɪən. | Nidzhin
ʒɪəʃ.ʒɪən. | Zhishzhin
ʒɪə.ʒad. | Zhizhad
ʃɪə.dar. | Shidar
kə.jɪəm. | Kuyim
jɪə.ʒɪən. | Yizhin
ʒɪən.ʒɪəd. | Zhinzhid
gɪəd.ʒɪən. | Gidzhin
tɪəd.ʒɪət. | Tidzhit
